Url: ,https://www.zomato.com/mumbai/burger-king-dadar-west/order
Name,Price,Desciption
BK Fusion Shake (made with Kit Kat).,279 rupee,"Made with Kit Kat, enjoy our reach creamy fusion thick shake. Qty: 378 gms| Kcal: 703 | Carbs: 119 gms| Sugar: 71 gms| Fat: 19 gms| Saturated fat: 14 gms| Protein: 15 gms|"
BK Fusion Sundae (made with Kit Kat).,129 rupee,"Made with Kit Kat, enjoy our rich creamy fusion sundae. Qty: 128 gms| Kcal: 327 | Carbs: 49 gms| Sugar: 32 gms| Fat: 12 gms| Saturated fat: 10 gms| Protein: 6 gms"
2 BK Fusion Sundae (made with Kit Kat).,258 rupee,"2 X Made with Kit Kat, enjoy our reach creamy fusion thick sundae. Qty: 256 gms| Kcal: 654 | Carbs: 97 gms| Sugar: 64 gms| Fat: 24 gms| Saturated fat: 19 gms| Protein: 13 gms"
Extra Crunchy Veg Whopper Deluxe(Reg. Size Bun).,149 rupee,"New Whopper Deluxe in premium glazed bun (regular size). 7 layers of taste: Extra Crunchy Veg patty, fresh onion, crispy lettuce, juicy tomatoes (seasonal) tangy gherkins, creamy & smoky sauces. Qty: 195 gms| Kcal: 484 | Carbs: 49 gms| Sugar: 10 gms| Fat: 27 gms| Saturated fat: 9 gms| Protein: 11 gms|Qty: 194 Gms| Kcal: 456 | Carbs 61.6 Gms| Sugar: 9.2 Gms| Fat: 20 Gms| Saturated fat: 11.9 Gms| Protein: 7.2 Gms| Sodium: 1428.1 Mg Contains: Gluten, Soybean, Milk, Sesame seeds."
Crunchy Soft Paneer Whopper Deluxe(Reg. Size Bun).,199 rupee,"New Whopper Deluxe in premium glazed bun (regular size). 7 layers of taste: Crunchy Soft Paneer patty, fresh onion, crispy lettuce, juicy tomatoes (seasonal) tangy gherkins, creamy & smoky sauces. Qty: 225 gms| Kcal: 621 | Carbs: 57 gms| Sugar: 1 gms| Fat: 34 gms| Saturated fat: 14 gms| Protein: 21 gms|"
Molten Cheese Lava Whopper Deluxe(Reg. Size Bun).,199 rupee,"New Whopper Deluxe in premium glazed bun (regular size). 7 layers of taste: Molten Cheese Lava patty, fresh onion, crispy lettuce, juicy tomatoes (seasonal) tangy gherkins, creamy & smoky sauces Qty: 230 gms| Kcal: 765 | Carbs: 35 gms| Sugar: 10 gms| Fat: 54 gms| Saturated fat: 20 gms| Protein: 35 gms|"
Flame Grilled Chicken Whopper Deluxe(Reg. Size Bun).,199 rupee,"New Whopper Deluxe in premium glazed bun (regular size). 7 layers of taste: Flame-Grilled Chicken patty, fresh onion, crispy lettuce, juicy tomatoes (seasonal) tangy gherkins, creamy & smoky sauces Qty: 168 gms| Kcal: 327 | Carbs: 35 gms| Sugar: 1 gms| Fat: 14 gms| Saturated fat: 3 gms| Protein: 15 gms|"
Smokey Crunchy Chicken Whopper Deluxe(Reg. Size Bun).,199 rupee,"New Whopper Deluxe in premium glazed bun (regular size). 7 layers of taste: Smokey Crunchy Chicken patty, fresh onion, crispy lettuce, juicy tomatoes (seasonal) tangy gherkins, creamy & smoky sauces. Qty: 240 gms| Kcal: 834 | Carbs: 76 gms| Sugar: 9 gms| Fat: 60 gms| Saturated fat: 13 gms| Protein: 37 gms|"
Flame-Grilled Mutton Whopper Deluxe(Reg. Size Bun),219 rupee,"New Whopper Deluxe in premium glazed bun (regular size). 7 layers of taste: Flame-Grilled Mutton patty, fresh onion, crispy lettuce, juicy tomatoes (seasonal) tangy gherkins, creamy & smoky sauces. Qty: 186 gms| Kcal: 338 | Carbs: 38 gms| Sugar: 1 gms| Fat: 13 gms| Saturated fat: 4 gms| Protein: 16 gms|"
Flame-Grilled Chicken Whopper Deluxe(Reg. Size Bun) Double Patty.,259 rupee,"Regular Size Flame-Grill Chicken Whopper Deluxe in premium glaze bun with 7 layers of taste: Double Flame-Grilled Chicken patty, fresh onion, crispy lettuce, juicy tomatoes (seasonal) tangy gherkins, creamy & smoky sauces."
"2 Extra Crunchy Veg Whopper Deluxe(Reg. Size Bun),",298 rupee,"2 New Whopper Deluxe in premium glazed bun (regular size). 7 layers of taste: Extra Crunchy Veg patty, fresh onion, crispy lettuce, juicy tomatoes (seasonal) tangy gherkins, creamy & smoky sauces."
Whopper Deluxe(Reg. Size Bun) Duo.,318 rupee,Choose any New Whopper Deluxe + Snack.
Whopper Deluxe(Reg. Size Bun)- Saver Meals for 2.,731 rupee,Choose any 2 from New Whopper Deluxe Range + 2 Snacks + Coke
2 Korean Spicy Paneer Burger @ 399.,598 rupee,Crunchy Soft Paneer patty dunked in hot and sweet Korean glaze with Korean sesame mayo in premium Brioche buns for authentic Korean flavours.
Korean Spicy Paneer Burger.,299 rupee,"""Crunchy Soft Paneer patty dunked in hot and sweet Korean glaze with Korean sesame mayo in premium Brioche buns for authentic Korean flavours. Qty: 228 Gms| Kcal: 695.26 | Carbs 67.94 Gms| Sugar: 16.99 Gms| Fat: 38.07 Gms| Saturated fat: 15.82 Gms| Protein: 20.20 Gms| Sodium: 1744.70 Mg Contains: Gluten, Soybean , Milk """
